=== Super Minds 0 ===
[Unit 0]
blue | màu xanh dương 🔵
visit cousins | thăm anh chị em họ 👨‍👩‍👧‍👦
help in the garden | giúp làm vườn 🌱
take riding lessons | học cưỡi ngựa 🏇
build a tree house | xây nhà trên cây 🌳
keep a scrapbook | làm sổ lưu niệm 📔
learn to swim | học bơi 🏊
go camping | đi cắm trại 🏕️
bake a cake | nướng bánh 🍰
rest | nghỉ ngơi 💤
have a break | nghỉ giải lao ☕

=== Super Minds 3 ===
[Unit 0]
upstairs | tầng trên ⬆️
downstairs | tầng dưới ⬇️
cellar | hầm chứa 🏚️
explorer | nhà thám hiểm 🧭
meet | gặp gỡ 🤝
lost treasure | kho báu thất lạc 💎
museum | bảo tàng 🏛️
adventure | cuộc phiêu lưu 🗺️
castle | lâu đài 🏰
secret | bí mật 🤫
only | duy nhất / chỉ 1️⃣

[Unit 1]
Art | Mỹ thuật 🎨
English | Tiếng Anh 🇬🇧
Geography | Địa lý 🌍
Music | Âm nhạc 🎵
I.T. | Tin học 💻
History | Lịch sử 📜
Maths | Toán ➗
Science | Khoa học 🔬
P.E. | Thể dục ⚽
in code | bằng mật mã 🔐
easy | dễ 😊
keep | giữ 💾
dark | tối tăm 🌑
probably | có lẽ 🤔
No way | Không đời nào 🙅
yet | chưa ⏳
follow | đi theo 👣

[Unit 2]
apple juice | nước ép táo 🧃
cheese | phô mai 🧀
lemonade | nước chanh 🍋
salad | sa-lát 🥗
rolls | bánh mì cuộn 🥖
soup | súp / canh 🍲
vegetables | rau củ 🥦
water | nước 💧
ill | ốm / bệnh 🤒
bite | cắn 🦷
bit | đã cắn (quá khứ) 🦷
medicine | thuốc 💊
hut | túp lều 🛖
top | đỉnh ⛰️
waterfall | thác nước 🌊
golden | bằng vàng 🥇
get better | hồi phục / khỏe hơn 💪
fool | kẻ ngốc 🤡
Just you wait | Hãy đợi đấy ⏳

[Unit 3]
wash up | rửa bát đĩa 🍽️
tidy up | dọn dẹp 🧹
sweep | quét dọn 🧹
cook | nấu ăn 👨🍳
feed the dog | cho chó ăn 🐕
dry the dishes | lau khô bát đĩa 🧽
do the shopping | đi mua sắm 🛍️
take the dog for a walk | dắt chó đi dạo 🦮
tea | trà 🫖
moon | mặt trăng 🌙
at night | vào ban đêm 🌃
pilot | phi công ✈️
flight | chuyến bay ✈️
spaceship | tàu vũ trụ 🚀

[Unit 4]
map | bản đồ 🗺️
bank | ngân hàng 🏦
bus station | bến xe buýt 🚌
tower | tháp 🗼
library | thư viện 📚
market square | quảng trường chợ 🏘️
sports centre | trung tâm thể thao ⚽
supermarket | siêu thị 🛒
funfair | hội chợ vui chơi 🎡
car park | bãi đỗ xe 🅿️
higher than | cao hơn ⬆️
Pirate Ship | Tàu cướp biển 🏴‍☠️
the wrong place | nhầm chỗ ❌

[Unit 5]
seahorse | cá ngựa 🐠
dolphin | cá heo 🐬
seal | hải cẩu 🦭
shell | vỏ sò 🐚
octopus | bạch tuộc 🐙
anchor | mỏ neo ⚓
starfish | sao biển 🌟
turtle | rùa biển 🐢
trap | cái bẫy 🪤
chase | đuổi theo 🏃‍♂️
giant | khổng loth 🦍
have a look | nhìn xem 👀
get my arm out | rút tay ra 💪
stuck | bị kẹt 🔒
my beauty | người đẹp của ta 💃
stupid | ngu ngốc 🤪
cage | cái lồng 🐦
helpful | hay giúp đỡ 🤝
fourth | thứ tư (số thứ tự) 4️⃣

[Unit 6]
games console | máy chơi game 🎮
electric fan | quạt điện 💨
walkie-talkie | bộ đàm 📻
electric toothbrush | bàn chải điện 🪥
tablet | máy tính bảng 📱
torch | đèn pin 🔦
mobile phone | điện thoại di động 📱
lift | thang máy 🛗
laptop | máy tính xách tay 💻
fabulous | tuyệt vời 🌟
fan | cái quạt / người hâm mộ 🥰
van | xe tải nhỏ 🚐

[Unit 7]
doctor | bác sĩ 👨⚕️
nurse | y tá 👩⚕️
cold | cảm lạnh 🤧
cough | ho 🤧
headache | đau đầu 🤕
toothache | đau răng 🦷
earache | đau tai 👂
stomach-ache | đau dạ dày 🤢
quietly | một cách yên lặng 🤫
woke up | đã thức dậy ⏰
felt | đã cảm thấy 🤲
had | đã có ✔️
went | đã đi 🚶‍♂️
gave | đã đưa cho 🎁
said | đã nói 🗣️
terrible | khủng khiếp 😨

[Unit 8]
Mexico | nước Mê-hi-cô 🇲🇽
Spain | nước Tây Ban Nha 🇪🇸
Argentina | nước Ác-hen-ti-na 🇦🇷
Egypt | nước Ai Cập 🇪🇬
Chile | nước Chi-lê 🇨🇱
China | nước Trung Quốc 🇨🇳
Turkey | nước Thổ Nhĩ Kỳ 🇹🇷
Brazil | nước Bra-xin 🇧🇷
Australia | nước Úc 🇦🇺
India | nước Ấn Độ 🇮🇳
North America | Bắc Mỹ 🌎
South America | Nam Mỹ 🌎
Europe | Châu Âu 🇪🇺
Asia | Châu Á 🌏
Africa | Châu Phi 🌍
canyon | hẻm núi 🏞️
harbour | bến cảng ⚓
volcano | núi lửa 🌋

[Unit 9]
thunderstorm | bão sấm sét ⛈️
lightning | tia chớp ⚡
rain | mưa 🌧️
rainy | có mưa 🌧️
wind | gió 💨
windy | có gio 💨
cloud | mây ☁️
cloudy | có mây ☁️
fog | sương mù 🌫️
foggy | có sương mù 🌫️
umbrella | cái ô ☂️
raincoat | áo mưa 🧥
boots | đôi ủng 👢
because of | bởi vì 🧐
so much | rất nhiều 💯
seaside | bờ biển 🏖️
steam train | tàu hơi nước 🚂
crowded | đông đúc 👥
basket | cái giỏ 🧺
cart | xe đẩy / xe kéo 🛒
wore | đã mặc 👗

=== Super Minds 4 ===
[Unit 0]
big wheel | vòng quay khổng lồ 🎡
rollercoaster | tàu lượn siêu tốc 🎢
roundabout | vòng quay ngựa gỗ / bùng binh 🎠
mayor | thị trưởng 👨💼
dodgem cars | xe điện đụng 🏎️
microphone | mi-crô 🎤
band | ban nhạc 🎶
photographer | nhiếp ảnh gia 📸
journalist | nhà báo 📰
well done | làm tốt lắm 👏
try out | thử nghiệm 🧪
excitement | sự phấn khích 🤩
explore | khám phá 🧭
treasure | kho báu 💎
museum | bảo tàng 🏛️

[Unit 1]
queen | nữ hoàng 👑
knight | hiệp s 🤺
crown | vương miện 👑
helmet | mũ bảo hiểm / mũ giáp ⛑️
necklace | vòng cổ 📿
bracelet | vòng tay 📿
shield | cái khiên 🛡️
sword | thanh kiếm ⚔️
map | bản đồ 🗺️
dinosaur | khủng long 🦖
touch | chạm vào 👆
brilliant | xuất sắc / rực rỡ ✨
hide | trốn / giấu 🙈
storyteller | người kể chuyện 📖
timeline | dòng thời gian ⏳

[Unit 2]
mountain | ngọn núi ⛰️
forest | khu rừng 🌲
village | ngôi làng 🏡
lake | hồ nước 🌊
island | hòn đảo 🏝️
field | cánh đồ 🌾
river | dòng sông 🌊
path | con đường nhỏ 🛤️
picnic | dã ngoic 🧺
scare | làm sợ hãi 😨
rescue | giải cứu 🚑
continent | lục địa 🌍
satellite | vệ tinh 🛰️
country | đất nước 🇻🇳
world | thế giới 🌎

[Unit 3]
fire | ngọn lửa / hỏa hoạn 🔥
flood | lũ lụt 🌊
emergency services | dịch vụ khẩn cấp 🚨
police car | xe cảnh sát 🚓
fire engine | xe cứu hỏa 🚒
ambulance | xe cứu thương 🚑
paramedic | nhân viên y tế 🏥
accident | tai nạn 🚧
hurt | bị thương / làm đau 🤕
shark | cá mập 🦈
extinguisher | bình cứu hỏa 🧯
operator | tổng đài viên 📞
tsunami | sóng thần 🌊
danger | sự nguy hiểm ⚠️
rescue | giải cứu 🚑

[Unit 4]
station | nhà ga 🚉
platform | sân ga 🛤️
escalator | thang cuốn ⬆️
ticket office | phòng bán vé 🎟️
train driver | người lái tàu 🚂
suitcase | va li 🧳
train track | đường ray 🛤️
return ticket | vé khứ hồi 🎟️
single ticket | vé một chiều 🎟️
tunnel | đường hầ 🚇
disappear | biến mất 👻
conductor | người soát vé / nhạc trưởng 🎼
imagination | trí tưởng tượng 🧠
eco-friendly | thân thiện với môi trường 🌱
pollute | gây ô nhiễm ☁️

[Unit 5]
dark | sẫm màu / tối 🌑
blonde | vàng hoe 👱‍♀️
fair | sáng màu / trắng trẻo 👱
moustache | ria mép 🤨
curly | xoăn 🌀
beard | râu quai nón 🧔
scar | vết sẹo 🤕
straight | thẳng 📏
criminal | tội phạm 🦹
mysterious | bí ẩn 🕵️
uniform | đồng phục 👮
walkie-talkie | bộ đàm 📻
rob | cướp 🦹
sketch | bản phác thảo 🖍️
police | cảnh sát 👮

[Unit 6]
tail | cái đuôi 🐒
horn | cái sừng 🐮
scales | vảy (cá/rồng) 🐟
wing | đôi cánh 🦋
feathers | lông vũ 🪶
tongue | cái lưỡi 👅
mythical beast | quái thú huyền thoại 🐉
dinosaur | khủng long 🦖
mermaid | nàng tiên cá 🧜‍♀️
unicorn | kỳ lân 🦄
centaur | nhân mã 🐎
treasure chest | rương kho báu 💰
omnivore | động vật ăn tạp 🍖🥬
herbivore | động vật ăn cỏ 🌿
carnivore | động vật ăn thịt 🍖

[Unit 7]
tambourine | trống lục lạc 🔔
triangle | kẻng tam giác 🔺
trumpet | kèn trôm-pét 🎺
trombone | kèn trôm-bôn 🎷
drums | trống 🥁
harp | đàn hạc 🎼
saxophone | kèn xắc-xô 🎷
violin | đàn vĩ cầm 🎻
orchestra | dàn nhạc 🎼
instrument | nhạc cụ 🎸
concert | buổi hòa nhạc 🎵
conductor | nhạc trưởng 🎼
percussion | bộ gõ 🥁
string | bộ dây 🎻
wind | bộ hơi (nhạc cụ) 🎺

[Unit 8]
planet | hành tinh 🪐
rocket | tên lửa 🚀
UFO | vật thể bay không xác định 🛸
star | ngôi sao ⭐
comet | sao chổi ☄️
telescope | kính thiên văn 🔭
astronaut | phi hành gia 👨🚀
moon | mặt trăng 🌙
space station | trạm vũ trụ 🛰️
planetarium | cung thiên văn 🌌
outer space | ngoài vũ tr 🌠
asteroid | tiểu hành tinh 🌑
orbit | quỹ đạo 🛰️
spacesuit | bộ đồ phi hành gia 👨🚀
universe | vũ tr 🌌

[Unit 9]
sail a boat | lái thuyền buồm ⛵
swing on a rope | đu dây 🪢
dive into the water | lặn xuống nước 🤿
row a boat | chèo thuyền 🛶
put up a tent | dựng lều ⛺
make a fire | đốt lửa 🔥
collect wood | nhặt củi 🪵
sleeping bag | túi ngủ 🛌
tent | cái lều ⛺
campfire | lửa trại 🔥
campsite | khu cắm trại 🏕️
adventure | cuộc phiêu lưu 🗺️
holiday | kỳ nghỉ 🏖️
nature | thiên nhiên 🌳
explore | khám phá 🧭

=== Super Minds 5 ===
[Unit 0]
bubbles | bong bóng 🫧
explosion | vụ nổ 💥
instructions | hướng dẫn 📝
liquid | chất lỏng 💧
goggles | kính bảo hộ 🥽
apron | tạp dề 🧤
powder | bột 🧂
gloves | găng tay 🧤
test tube | ống nghiệm 🧪
shelf | cái kệ 📚
science | khoa học 🔬
laboratory | phòng thí nghiệm 🧪
experiment | thí nghiệm 🧫
safety | sự an toàn 🛡️
measure | đo lường 📏

[Unit 1]
volcano | núi lửa 🌋
earthquake | động đất 🌍
flood | lũ lụt 🌊
hurricane | bão lớn / cuồng phong 🌪️
tsunami | sóng thần 🌊
forest fire | cháy rừng 🔥
smoke | khói 💨
temple | ngôi đền 🛕
statue | bức tượng 🗿
fountain | đài phun nước ⛲
magma | mắc-ma (đá nóng chảy trong lòng đất) 🌋
lava | dung nham 🌋
ash | tro bụi 💨
destroy | phá hủy 💥
erupt | phun trào 🌋

[Unit 2]
rainforest | rừng mưa nhiệt đới 🌴
beak | cái mỏ (chim) 🐦
toucan | chim toucan (chim mỏ to) 🦜
sloth | con lười 🦥
branch | cành cây 🌿
anaconda | trăn anaconda 🐍
jaguar | báo đốm 🐆
anteater | thú ăn kiến 🦏
beetle | bọ cánh cứng 🪲
ecosystem | hệ sinh thái 🌿
oxygen | khí ô-xy 💨
species | giống loài 🐾
carbon dioxide | khí các-bô-níc (CO2) 💨
Amazon | rừng A-ma-dôn 🌳
monkey | con khỉ 🐒

[Unit 3]
spotlight | đèn sân khấu / tiêu điểm 💡
electric guitar | đàn ghi-ta điện 🎸
fans | người hâm mộ 🥰
dancer | vũ công 💃
bass guitar | đàn ghi-ta bass 🎸
drum kit | bộ trống 🥁
stage | sân khấu 🎭
backing singers | nhóm hát bè 🎤
bodyguards | vệ sĩ 💂
album | an-bum nhạc 💿
record | bản thu âm / đĩa hát 💿
jukebox | máy phát nhạc tự động 🎵
genre | thể loại 🎶
jazz | nhạc jazz 🎷
concert | buổi hòa nhạc 🎵

[Unit 4]
waiter | bồi bàn (nam) 🧑‍🍳
strawberries | dâu tây 🍓
biscuits | bánh quy 🍪
spoon | cái thìa 🥄
fork | cái nĩa 🍴
knife | con dao 🔪
chopsticks | đôi đũa 🥢
pepper | hạt tiêu 🌶️
salt | muối 🧂
recipe | công thức nấu ăn 📜
ingredients | nguyên liệu 🥦
chocolate | sô-cô-la 🍫
cacao | ca cao 🍫
melt | tan chảy 🫠
restaurant | nhà hàng 🍽️

[Unit 5]
robbers | những tên cướp 🦹
jail | nhà tù 🔒
wagon | xe ngựa kéo 🛻
sheriff | cảnh sát trưởng 🤠
saddle | yên ngựa 🐎
pistol | súng lục 🔫
handcuffs | còng số 8 🔗
rope | dây thừng 🪢
barrel | cái thùng 🛢️
Native American | người bản địa Mỹ (da đỏ) 🏹
bison | bò rừng 🐂
tribe | bộ lạc 👨‍👩‍👧‍👦
gold rush | cơn sốt vàng 🏆
cowboy | cao bồi 🤠
arrest | bắt giữ 👮

[Unit 6]
flag | lá cờ 🇻🇳
carpet | tấm thảm 🧶
sunglasses | kính râm 🕶️
cushion | gối tựa / đệm 🛋️
earrings | bông tai 👂
souvenir | quà lưu niệm 🎁
tourist | khách du lịch 🧳
mosque | nhà thờ Hồi giáo 🕌
mosaic | tranh khảm 🎨
tiles | gạch men / ngói 🧱
Istanbul | thành phố I-x-tan-bun 🕌
Turkey | nước Thổ Nhĩ Kỳ 🇹🇷
basket | cái giỏ 🧺
market | chợ 🛍️
travel | du lịch 🧭

[Unit 7]
mask | mặt nạ 🎭
wig | tóc giá 💇
actor | diễn viên 🎭
costume | trang phục diễn 👘
audience | khán giả 👥
theatre | nhà hát 🎭
play | vở kịch 🎬
Shakespeare | Sếch-xpia (nhà viết kịch) 📜
tragedy | bi kịch 😢
comedy | hài kịch 😄
prop | đạo cụ 🎩
applause | tràng pháo tay 👏
stage | sân khấu 🎭
perform | biểu diễn 💃
character | nhân vật 🧑‍🎤

[Unit 8]
farmer | nông dân 👩‍🌾
engineer | kỹ sư 👷
dentist | nha sĩ 🦷
artist | họa sĩ / nghệ sĩ 🎨
designer | nhà thiết kế 🎨
computer programmer | lập trình viên máy tính 💻
mechanic | thợ cơ khí 🔧
businesswoman | nữ doanh nhân 👩‍💼
businessman | nam doanh nhân 👨‍💼
cleaner | nhân viên vệ sinh 🧹
future | tương lai 🔮
career | sự nghiệp 📈
job | công việc 💼
profession | nghề nghiệp chuyên môn 🎓
skills | kỹ năng 🛠️

[Unit 9]
sail | cánh buồm ⛵
sailor | thủy thủ 🧑‍✈️
captain | thuyền trưở 🧑‍✈️
mast | cột buồm ⛵
lifeboat | thuyền cứu sinh 🚤
cabin | khoang tàu / ca-bin 🚢
porthole | cửa sổ tàu thủy (tròn) 🪟
ocean | đại dương 🌊
sea | biển 🌊
ship | tàu thủy 🚢
voyage | chuyến hải trình 🧭
mystery | bí ẩn 🕵️
adventure | cuộc phiêu lưu 🗺️
navigation | sự định vị / nghề hàng hải 🧭
compass | la bàn 🧭

=== Super Minds 6 ===
[Back to School]
basketball hoop | rổ bóng rổ 🏀
bell | cái chuông 🔔
net | lưới 🕸️
football pitch | sân bóng đá ⚽
running track | đường chạy điền kinh 🏃‍♂️
gym | phòng tập thể dục / nhà thi đấu 🏋️‍♂️
tennis court | sân quần vợt 🎾
bike rack | giá để xe đạp 🚲
railings | hàng rào chắn / lan can 🚧
litter bin | thùng rác 🗑️
school | trường học 🏫
adventure | cuộc phiêu lưu 🗺️
time travel | du hành thời gian ⏳
playground | sân chơi 🛝
sports | thể thao ⚽

[Unit 1]
palm tree | cây cọ / cây dừa 🌴
hook | cái móc 🪝
eye-patch | miếng bịt mắt 🏴‍☠️
binoculars | ống nhòm 🔭
key | chìa khóa 🔑
hammock | cái võng 🪢
coins | tiền xu 💰
spade | cái xẻng 🪚
treasure chest | rương kho báu 💰
hole | cái hố 🕳️
pirate | cướp biển 🏴‍☠️
anchor | mỏ neo ⚓
bury | chôn giấu ⚰️
rob | cướp 🦹
steal | trộm cắp 🦹

[Unit 2]
hang-glider | diều lượn 🪂
parachute | cái dù 🪂
monorail | tàu đường ray đơn 🚝
solar panel | tấm pin năng lượng mặt trời ☀️
